study,dimension,judge_id,definition
study1,rigour,1077,I would check that all cases had been considered and that all of the steps in the proof were correct. This is obviously easiest when the proof is laid out logically and neatly. 
study1,rigour,15,"A proof is rigorous if it follows a logical order, has no gaps, and demonstrates what is stated in the claim. It should cover all possibilities in case there are more than one, in the specific context. The proof should also be clear enough to understand it easily."
study1,rigour,269,When it contains no logical gap.
study1,rigour,6376,If it does not leave any gap between the premises and the conclusions. 
study1,rigour,48,"If there are no mistakes I can spot and I can understand it I will assume it is rigorous. I have no where near enough knowledge about maths or proofs of any kind at all to have any sort of authority to decide if a proof is rigorous or not, 99 times out of 100 I don't understand the proofs in the notes and I just assume they are okay."
study1,rigour,683,"Used only axiom as a known condition.
Make logical sense.

Well-formed and with comments/detailed explanation.

Also been proof by a large amount of specialists."
study1,rigour,983,No logical gaps. Easier to read if chain of implications are written in order.
study1,rigour,1251,"If a proof is heavy on the algebra and explains all of its claims/statements thoroughly, or at least points you to a resource that justifies them. Proofs that make use of pictures/diagrams I find usually a lot more intuitive but even if I can't think of a flaw in the proof, it still would not seem (as) rigorous."
study1,rigour,753,"A proof is rigorous if it is a correct, fully explained, logical pathway based on a clear set of assumptions, which are themselves either standard or explicitly given."
study1,rigour,3103,"By considering any counter examples that are not true due to the proof not being rigorous. 

If the argument doesn't flow well, or has no structure it may imply the proof is omitting some steps. 

If every step is justified."
study1,rigour,94,"I would decide if a proof is rigorous if it follows definitions and theorems to reach its conclusion, with no obvious gaps and each conclusion in the proof giving full validity to following conclusions."
study1,rigour,74,Rigorous proof would be explained clearly and simply with no excessive details or jumps to conclusions. It would offer a logical argument that the reader can follow. It would also not make any unnecessary assumptions and be as all encompassing as possible. 
study1,rigour,1553,"To decide whether a proof is rigorous, we need to carefully check each step of the proof and consider whether the former steps could be deduced into the latter ones, to make sure that each step is logically clear. A rigorous proof should demonstrate the given claims or propositions under any required constraints. "
study1,rigour,577,"Firstly, it would have to contain no errors or unproven assumptions. It would also need to be a complete set of logical statements with no bits left to intuition or guessing. I might also expect it to follow the established notation conventions. I tend to find proofs that appeal to algebra over geometry more rigorous."
study1,rigour,537,"A rigorous proof makes no non-trivial logical jumps and does not allow for any loss of generality relative to the proposition. In addition, the proof should be clear and unambiguous in all steps."
study1,rigour,169,The steps follow on from the previous. And is right in all the conditions stated
study1,rigour,1459,A proof is rigorous if a clear assumption is made and then logical statements follow in a logical order with a logical conclusion. A rigorous proof must have no gaps.
study1,rigour,1301,"What I would look for:
 - no gaps in logical proceedings

 - connecting sentences short and efficient"
study1,rigour,625,A good proof should be well organised and show each step clearly. 
study1,rigour,857,"I would say a proof is rigorous when the steps are shown clearly and done so precisely. Stating definitions in proofs is important to be rigorous, however should be concise and not contain information that isn't fundamental to the proof. "
study1,rigour,1466,Has no gaps and no leaps to conclusions. Is no longer than it needs to be and the theorems and definitions used are clearly available.
study1,rigour,524,I would first ensure that I understand the claim and try to form my own conclusion of what the proof/answer shall be to ensure that the proof given provides the right answer. I would then read the proof and  decide if the  method of proof  that the writer has a suitable / good  choice or not. Next I would actively read the proof and try to find any mistakes or ommissions that I feel are a significant error. 
study1,rigour,2719,It is clear to the reader and does not lack any logical steps.
study1,rigour,104,"There is no logical gap between steps.
All the sentences are well formed with aid of maths notations.

Overall the structure is clear."
study1,rigour,17,"I think a proof would be considered rigorous if it covers each aspect of the statement, and proves it in such a way that it cannot be contradicted."
study1,rigour,624,"Proof starts with a previous definition or theorem and builds/adapts it with each line logically following on from the previous.

Each line needs justification, as to why it is possible and relevant.

Proofs that fall into a strict category such as: ""proof by induction"", ""proof by counterexample"" tend to be more formulaic and easier to see if the proof is rigorous."
study1,rigour,1736,Each step follows logically from the previous one with clear reasoning. There are no gaps in the argument. Only fundamental axioms are assumed and are stated where necessary.
study1,rigour,651,"A rigorous proof is one that makes it very clear what one is assuming to be true, what the definitions being used are, and how exactly the result is derived using such. In other words, it is a proof that covers all its bases and justifies all the steps within! "
study1,rigour,78,"A proof is rigorous if it defines all the variables or notation needed within the proof. It is also rigorous if it follows a logical argument, and there are no gaps i.e. covers all the possible ""cases"". "
study1,rigour,45, The axioms used in the proof are accurate and correct. There are no gaps between steps and the logic is clear throughout the proof. 
study1,rigour,425,"A mathematical proof needs three parts: language, deduction system and axiom. Rigorous mathematical proof should be the result of the deduction and proof of axioms and derived theorems step by step with a clear logic. If the axiom or theorem has a scope of application, the conclusion should only be in this scope."
study1,rigour,6860,"I think a proof is rigorous should be drived from axioms or theorms.  If there two have a scope of application, the conclusion we prove should only in this scope. 
Furthermore, every steps in our proof we prove should be true."
study1,rigour,5010,"A proof is rigorous when it has no holes or unjustified shortcuts in logic, does not contradict earlier statements (unless on purpose), covers all possible cases when the proof is intended to be valid, and leaves the reader convinced in the truth of the statement being proved."
study1,insight,127,A proof would give me insight if it is clear and concise. All the terms and processes should be well defined. Each step should be shown with no gaps in the proof.  
study1,insight,2715,"The theorem is clearly stated to start. Then the working in the proof step by step and easy to follow, without the omission of any parts. The proof should include reasoning for steps which are not explicitly obvious."
study1,insight,1153,"- If the steps are logical and follow a good structure.

- Any previous results required for the proof are either well cited or maybe even stated in the proof.

- If the proof is easily reproducible

- If the claim being proved is used in arithmetic calculations/in computational work then the method of the proof could maybe give an insight into how such computation would be carried out"
study1,insight,2850,"A proof gives me insight if it clearly follows a logical story which highlighting any interesting remarks or points which make the argument more natural. For long proofs, outlines/summaries of the line of argument can be very useful."
study1,insight,1104,"After reading a proof, there should be no doubt at all that the claim is true. A proof is a clear argument for a case, that covers every option. That is to say a proof either says why the claim is true in all cases, or why the claim has to be true by disproving all other cases."
